County_Code,County_Name,Constituency_Code,Constituency_Name,Ward_Code,Ward_Name,
001,MOMBASA,001,CHANGAMWE,0001,PORT REITZ,
001,MOMBASA,001,CHANGAMWE,0002,KIPEVU,
001,MOMBASA,001,CHANGAMWE,0003,AIRPORT,
001,MOMBASA,001,CHANGAMWE,0004,CHANGAMWE,
001,MOMBASA,001,CHANGAMWE,0005,CHAANI,
001,MOMBASA,002,JOMVU,0006,JOMVU KUU,
001,MOMBASA,002,JOMVU,0007,MIRITINI,
001,MOMBASA,002,JOMVU,0008,MIKINDANI,
001,MOMBASA,003,KISAUNI,0009,MJAMBERE, 
001,MOMBASA,003,KISAUNI,0010,JUNDA,
001,MOMBASA,003,KISAUNI,0011,BAMBURI,
001,MOMBASA,003,KISAUNI,0012,MWAKIRUNGE,
001,MOMBASA,003,KISAUNI,0013,MTOPANGA,
001,MOMBASA,003,KISAUNI,0014,MAGOGONI,
001,MOMBASA,003,KISAUNI,0015,SHANZU,
001,MOMBASA,004,NYALI,0016,FRERE TOWN,
001,MOMBASA,004,NYALI,0017,ZIWA LA NG'OMBE,
001,MOMBASA,004,NYALI,0018,MKOMANI,
001,MOMBASA,004,NYALI,0019,KONGOWEA,
001,MOMBASA,004,NYALI,0020,KADZANDANI,
001,MOMBASA,005,LIKONI,0021,MTONGWE,
001,MOMBASA,005,LIKONI,0022,SHIKA ADABU,
001,MOMBASA,005,LIKONI,0023,BOFU,
001,MOMBASA,005,LIKONI,0024,LIKONI,
001,MOMBASA,005,LIKONI,0025,TIMBWANI,
001,MOMBASA,006,MVITA,0026,MJI WA KALE/MAKADARA,
001,MOMBASA,006,MVITA,0027,TUDOR,
001,MOMBASA,006,MVITA,0028,TONONOKA,
001,MOMBASA,006,MVITA,0029,SHIMANZI/GANJONI,
001,MOMBASA,006,MVITA,0030,MAJENGO,
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,
002,KWALE,007,MSAMBWENI,0032,UKUNDA,
002,KWALE,007,MSAMBWENI,0033,KINONDO,
002,KWALE,007,MSAMBWENI,0034,RAMISI,
002,KWALE,008,LUNGALUNGA,0035,PONGWE/KIKONENI,
002,KWALE,008,LUNGALUNGA,0036,DZOMBO,
002,KWALE,008,LUNGALUNGA,0037,MWERENI,
002,KWALE,008,LUNGALUNGA,0038,VANGA,
002,KWALE,009,MATUGA,0039,TSIMBA GOLINI,
002,KWALE,009,MATUGA,0040,WAA,
002,KWALE,009,MATUGA,0041,TIWI,
002,KWALE,009,MATUGA,0042,KUBO SOUTH,
002,KWALE,009,MATUGA,0043,MKONGANI,
002,KWALE,010,KINANGO,0044,NDAVAYA,
002,KWALE,010,KINANGO,0045,PUMA,
002,KWALE,010,KINANGO,0046,KINANGO,
002,KWALE,010,KINANGO,0047,MACKINNON ROAD,
002,KWALE,010,KINANGO,0048,CHENGONI/SAMBURU,
002,KWALE,010,KINANGO,0049,MWAVUMBO,
002,KWALE,010,KINANGO,0050,KASEMENI,
003,KILIFI,011,KILIFI NORTH,0051,TEZO,
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,
003,KILIFI,011,KILIFI NORTH,0053,KIBARANI,
003,KILIFI,011,KILIFI NORTH,0054,DABASO,
003,KILIFI,011,KILIFI NORTH,0055,MATSANGONI,
003,KILIFI,011,KILIFI NORTH,0056,WATAMU,
003,KILIFI,011,KILIFI NORTH,0057,MNARANI,
003,KILIFI,012,KILIFI SOUTH,0058,JUNJU,
003,KILIFI,012,KILIFI SOUTH,0059,MWARAKAYA,
003,KILIFI,012,KILIFI SOUTH,0060,SHIMO LA TEWA,
003,KILIFI,012,KILIFI SOUTH,0061,CHASIMBA,
003,KILIFI,012,KILIFI SOUTH,0062,MTEPENI,
003,KILIFI,013,KALOLENI,0063,MARIAKANI,
003,KILIFI,013,KALOLENI,0063,KAYAFUNGO,
003,KILIFI,013,KALOLENI,0065,KALOLENI,
003,KILIFI,013,KALOLENI,0066,MWANAMWINGA,
003,KILIFI,014,RABAI,0067,MWAWESA,
003,KILIFI,014,RABAI,0068,RURUMA,
003,KILIFI,014,RABAI,0069,KAMBE/RIBE,
003,KILIFI,014,RABAI,0070,RABAI/KISURUTINI,
003,KILIFI,015,GANZE,0071,GANZE,
003,KILIFI,015,GANZE,0072,BAMBA,
003,KILIFI,015,GANZE,0073,JARIBUNI,
003,KILIFI,015,GANZE,0074,SOKOKE,
003,KILIFI,016,MALINDI,0075,JILORE,
003,KILIFI,016,MALINDI,0076,KAKUYUNI,
003,KILIFI,016,MALINDI,0077,GANDA,
003,KILIFI,016,MALINDI,0078,MALINDI TOWN,
003,KILIFI,016,MALINDI,0079,SHELLA,
003,KILIFI,017,MAGARINI,0080,MARAFA,
003,KILIFI,017,MAGARINI,0081,MAGARINI,
003,KILIFI,017,MAGARINI,0082,GONGONI,
003,KILIFI,017,MAGARINI,0083,ADU,
003,KILIFI,017,MAGARINI,0084,GARASHI,
003,KILIFI,017,MAGARINI,0085,SABAKI,
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,
004,TANA RIVER,018,GARSEN,0089,GARSEN CENTRAL,
004,TANA RIVER,018,GARSEN,0090,GARSEN WEST,
004,TANA RIVER,018,GARSEN,0091,GARSEN NORTH,
004,TANA RIVER,019,GALOLE,0092,KINAKOMBA,
004,TANA RIVER,019,GALOLE,0093,MIKINDUNI,
004,TANA RIVER,019,GALOLE,0094,CHEWANI,
004,TANA RIVER,019,GALOLE,0095,WAYU,
004,TANA RIVER,020,BURA,0096,CHEWELE,
004,TANA RIVER,020,BURA,0097,HIRIMANI,
